session_id,clinic_id,session_date,capacity_slots,filled_slots
S1_0,1,2024-01-01,23,14
S1_3,1,2024-01-04,15,14
S1_6,1,2024-01-07,17,12
S1_9,1,2024-01-10,24,17
S1_12,1,2024-01-13,13,9
S1_15,1,2024-01-16,23,21
S1_18,1,2024-01-19,22,19
S1_21,1,2024-01-22,17,17
S1_24,1,2024-01-25,21,19
S1_27,1,2024-01-28,10,6
S1_30,1,2024-01-31,18,16
S1_33,1,2024-02-03,23,13
S1_36,1,2024-02-06,17,8
S1_39,1,2024-02-09,19,12
S1_42,1,2024-02-12,12,11
S1_45,1,2024-02-15,16,11
S1_48,1,2024-02-18,16,16
S1_51,1,2024-02-21,20,11
S1_54,1,2024-02-24,20,12
S1_57,1,2024-02-27,14,9
S1_60,1,2024-03-01,20,17
S1_63,1,2024-03-04,21,19
S1_66,1,2024-03-07,17,15
S1_69,1,2024-03-10,21,21
S1_72,1,2024-03-13,18,12
S1_75,1,2024-03-16,14,11
S1_78,1,2024-03-19,17,14
S1_81,1,2024-03-22,18,16
S1_84,1,2024-03-25,11,6
S1_87,1,2024-03-28,21,13
S2_0,2,2024-01-01,15,8
S2_3,2,2024-01-04,16,10
S2_6,2,2024-01-07,22,13
S2_9,2,2024-01-10,20,11
S2_12,2,2024-01-13,20,17
S2_15,2,2024-01-16,15,7
S2_18,2,2024-01-19,21,10
S2_21,2,2024-01-22,16,15
S2_24,2,2024-01-25,14,14
S2_27,2,2024-01-28,21,20
S2_30,2,2024-01-31,14,10
S2_33,2,2024-02-03,23,16
S2_36,2,2024-02-06,23,16
S2_39,2,2024-02-09,12,6
S2_42,2,2024-02-12,21,20
S2_45,2,2024-02-15,23,17
S2_48,2,2024-02-18,10,9
S2_51,2,2024-02-21,16,12
S2_54,2,2024-02-24,14,12
S2_57,2,2024-02-27,22,12
S2_60,2,2024-03-01,13,9
S2_63,2,2024-03-04,15,13
S2_66,2,2024-03-07,20,14
S2_69,2,2024-03-10,18,11
S2_72,2,2024-03-13,10,8
S2_75,2,2024-03-16,18,12
S2_78,2,2024-03-19,11,6
S2_81,2,2024-03-22,23,15
S2_84,2,2024-03-25,12,10
S2_87,2,2024-03-28,21,18
S3_0,3,2024-01-01,13,11
S3_3,3,2024-01-04,11,10
S3_6,3,2024-01-07,12,9
S3_9,3,2024-01-10,21,18
S3_12,3,2024-01-13,20,11
S3_15,3,2024-01-16,24,23
S3_18,3,2024-01-19,21,18
S3_21,3,2024-01-22,14,14
S3_24,3,2024-01-25,11,10
S3_27,3,2024-01-28,12,9
S3_30,3,2024-01-31,21,19
S3_33,3,2024-02-03,14,10
S3_36,3,2024-02-06,17,17
S3_39,3,2024-02-09,23,11
S3_42,3,2024-02-12,14,9
S3_45,3,2024-02-15,13,7
S3_48,3,2024-02-18,18,11
S3_51,3,2024-02-21,24,13
S3_54,3,2024-02-24,19,19
S3_57,3,2024-02-27,18,15
S3_60,3,2024-03-01,15,7
S3_63,3,2024-03-04,14,10
S3_66,3,2024-03-07,20,20
S3_69,3,2024-03-10,12,6
S3_72,3,2024-03-13,13,10
S3_75,3,2024-03-16,11,6
S3_78,3,2024-03-19,12,9
S3_81,3,2024-03-22,24,18
S3_84,3,2024-03-25,15,15
S3_87,3,2024-03-28,13,9
S4_0,4,2024-01-01,10,7
S4_3,4,2024-01-04,13,7
S4_6,4,2024-01-07,18,14
S4_9,4,2024-01-10,24,16
S4_12,4,2024-01-13,12,6
S4_15,4,2024-01-16,14,11
S4_18,4,2024-01-19,23,14
S4_21,4,2024-01-22,23,14
S4_24,4,2024-01-25,21,10
S4_27,4,2024-01-28,16,16
S4_30,4,2024-01-31,12,9
S4_33,4,2024-02-03,22,12
S4_36,4,2024-02-06,12,6
S4_39,4,2024-02-09,15,13
S4_42,4,2024-02-12,20,20
S4_45,4,2024-02-15,11,10
S4_48,4,2024-02-18,15,10
S4_51,4,2024-02-21,14,14
S4_54,4,2024-02-24,23,13
S4_57,4,2024-02-27,12,11
S4_60,4,2024-03-01,24,22
S4_63,4,2024-03-04,13,6
S4_66,4,2024-03-07,18,16
S4_69,4,2024-03-10,17,17
S4_72,4,2024-03-13,15,13
S4_75,4,2024-03-16,15,15
S4_78,4,2024-03-19,12,11
S4_81,4,2024-03-22,12,8
S4_84,4,2024-03-25,19,11
S4_87,4,2024-03-28,18,12
S5_0,5,2024-01-01,22,17
S5_3,5,2024-01-04,23,19
S5_6,5,2024-01-07,20,16
S5_9,5,2024-01-10,18,11
S5_12,5,2024-01-13,24,15
S5_15,5,2024-01-16,23,18
S5_18,5,2024-01-19,15,11
S5_21,5,2024-01-22,22,14
S5_24,5,2024-01-25,17,8
S5_27,5,2024-01-28,23,19
S5_30,5,2024-01-31,10,8
S5_33,5,2024-02-03,18,13
S5_36,5,2024-02-06,12,6
S5_39,5,2024-02-09,20,18
S5_42,5,2024-02-12,13,8
S5_45,5,2024-02-15,13,9
S5_48,5,2024-02-18,17,9
S5_51,5,2024-02-21,18,14
S5_54,5,2024-02-24,18,16
S5_57,5,2024-02-27,24,18
S5_60,5,2024-03-01,22,11
S5_63,5,2024-03-04,23,22
S5_66,5,2024-03-07,12,8
S5_69,5,2024-03-10,23,12
S5_72,5,2024-03-13,14,13
S5_75,5,2024-03-16,14,11
S5_78,5,2024-03-19,13,10
S5_81,5,2024-03-22,12,9
S5_84,5,2024-03-25,10,9
S5_87,5,2024-03-28,22,19
